ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumInjGas(E3m3).1,CumPrdOil(m3),Percentage_Change_Monthly_Injected_Steam
1985-03-01,37715.6,24966.2,0.0,0.0,37128,2688,801205.6,0.0,699792.2,14.783963673880551
1985-04-01,37505.3,22521.2,0.0,0.0,35856,3408,838710.9,0.0,722313.4,0.5575942050504157
1985-05-01,31827.4,24363.8,0.0,0.0,39744,2616,870538.3,0.0,746677.2,15.1389270316462
1985-06-01,34435.4,28168.8,0.0,0.0,40752,3000,904973.7,0.0,774846.0,8.194197452509467
1985-07-01,38073.0,25969.4,0.0,0.0,42024,3504,943046.7,0.0,800815.4,10.563547976791307
1985-08-01,43900.5,20258.2,0.0,0.0,41064,3000,986947.2,0.0,821073.6,15.306122448979597
1985-09-01,33931.3,17315.0,0.0,0.0,39216,2328,1020878.5,0.0,838388.6,22.708625186501287
1985-10-01,36551.4,19077.7,0.0,0.0,41016,3240,1057429.9,0.0,857466.3,7.721779006404117
1985-11-01,30715.0,18391.1,0.0,0.0,40416,2472,1088144.9,0.0,875857.4,15.967651033886533
1985-01-01,40470.2,23621.5,0.0,0.0,39576,2880,730632.1,0.0,653247.3,25.735003992307416
2015-03-01,137150.6,50410.7,0.0,515.0,42081,18000,5325077.7,515.0,5265676.3,4.3855436358585465
1983-03-01,21318.7,12386.8,0.0,0.0,20928,2208,163856.8,0.0,218643.3,0.2680576347305341
1982-12-01,13783.3,7044.6,0.0,0.0,18384,1752,102447.0,0.0,189714.9,0.097124674741067
2016-05-01,136634.1,55703.5,0.0,886.3,43435,18438,7256893.2,886.3,6067869.0,10.487373539298538
2016-06-01,131429.7,47602.7,0.0,886.3,38238,16125,7388322.9,886.3,6115471.7,3.8090052190485335
2016-07-01,137502.2,53341.4,0.0,886.3,41193,17784,7525825.1,886.3,6168813.1,4.620340760117392
2016-08-01,143162.0,48601.5,0.0,886.3,42979,18312,7668987.1,886.3,6217414.6,4.116152323381006
2016-09-01,136058.6,43650.6,0.0,886.3,39408,17256,7805045.7,886.3,6261065.2,4.961791536860338
2016-10-01,159445.5,45204.5,0.0,886.3,42536,18216,7964491.2,886.3,6306269.7,17.188843630612105
2016-11-01,140901.8,41119.1,0.0,886.3,38973,18000,8105393.0,886.3,6347388.8,11.630118128137834
2017-05-01,130575.1,49071.4,0.0,938.5,39903,14904,8938243.3,938.5,6617677.9,5.651490730671638
2018-01-01,136982.4,47579.8,0.0,1148.4,43052,14455,9939947.1,1148.4,6952171.1,7.29430395809435
2018-02-01,129324.8,47710.3,0.0,1148.4,40341,14376,10069271.9,1148.4,6999881.4,5.5902072091013055
1983-02-01,21376.0,8185.3,0.0,0.0,18048,2424,142538.1,0.0,206256.5,14.217930975522442
2018-03-01,138819.8,52227.1,0.0,1148.4,43765,12632,10208091.7,1148.4,7052108.5,7.341979264611265
