Unnamed: 0,ProdDate,MonInjSteam(m3),MonthlyOil(m3),MonInjGas(E3m3),CumInjGas(E3m3),PrdHours(hr),InjHours(hr),CumInjSteam(m3),CumPrdOil(m3),CalDlyOil(m3/d),CalInjGas(E3m3/d),CalInjSteam(m3/d),SOR,percent_change_SOR,is_interpolated,CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate
1695,2008-01-01,117808.2,32375.3,630.0,45449.3,86776,17280,27704761.8,9811468.2,1044.36,20.32,3800.26,315763.07750661764,-0.1012562378117087,False,9523554.9,0.3730904858486217,6.8176041666666665,18.27332624459593
1696,2008-02-01,99244.2,28521.2,313.1,45762.4,81063,17632,27804006.0,9839989.4,983.49,10.8,3422.21,282072.0230775704,-10.66972576245593,False,9552076.099999998,0.3518399269703811,5.62864110707804,15.997732706305031
1697,2008-03-01,111980.8,35187.0,619.4,46381.8,91589,19174,27915986.8,9875176.4,1135.06,19.98,3612.28,291477.2356608975,3.3343301759283905,False,9587263.099999998,0.3841836901811353,5.840241994367372,15.201691648111897
1698,2008-04-01,112970.1,35083.1,671.6,47053.4,85986,17736,28028956.9,9910259.5,1169.44,22.39,3765.67,276881.0914257862,-5.0076446628896765,False,9622346.199999996,0.4080094433977624,6.36953653585927,15.611247825089436
1699,2008-05-01,106454.2,34453.4,695.7,47749.1,88795,18840,28135411.1,9944712.9,1111.4,22.44,3434.01,274359.00924146816,-0.910890003839082,False,9656799.599999998,0.3880105861816544,5.650435244161359,14.562580108358182
1700,2008-06-01,111478.5,34928.7,657.6,48406.7,84316,17400,28246889.6,9979641.6,1164.29,21.92,3715.95,269103.0930438293,-1.9157075294046644,False,9691728.299999995,0.414259452535699,6.406810344827586,15.465695002518926
1701,2008-07-01,122203.7,37004.9,612.0,49018.7,92005,16449,28369093.3,10016646.5,1193.71,19.74,3942.05,303834.1251699099,12.906218108917788,False,9728733.199999996,0.4022053149285365,7.429247978600522,18.47128245911058
1702,2008-08-01,121160.4,37799.1,519.3,49538.0,95295,17272,28490253.7,10054445.6,1219.33,16.75,3908.4,305456.48753541755,0.5339631829046176,False,9766532.299999995,0.3966535495041712,7.014844835572024,17.68506759700194
1703,2008-09-01,125224.1,36227.6,599.4,50137.4,95244,18608,28615477.8,10090673.2,1207.59,19.98,4174.14,329219.82633130543,7.779615023934472,False,9802759.899999997,0.3803662172945277,6.729584049871024,17.69238103672106
1704,2008-10-01,116276.7,37500.0,628.0,50765.4,96841,18887,28731754.5,10128173.2,1209.68,20.26,3750.86,300276.050792,-8.791625905961787,False,9840259.899999997,0.3872326803729825,6.156440938211468,15.898557250595648
1705,2008-11-01,122456.7,34665.2,604.6,51370.0,92789,18694,28854211.2,10162838.4,1155.51,20.15,4081.89,327782.1774084673,9.160279863784648,False,9874925.099999996,0.3735916972917048,6.550588424093292,17.534084594440316
1706,2008-12-01,132892.9,34087.3,426.7,51796.7,93367,20508,28987104.1,10196925.7,1099.59,13.76,4286.87,364001.0031389989,11.049662924594394,False,9909012.399999997,0.3650893784741932,6.480051687146479,17.749219969719082
1707,2009-01-01,119191.1,32272.3,624.3,52421.0,92412,19848,29106295.2,10229198.0,1041.04,20.14,3844.87,341304.70816148835,-6.235228689423056,False,9941284.699999996,0.3492219625156906,6.005194478033052,17.19592443377108
1708,2009-02-01,102211.4,29563.0,542.2,52963.2,82808,17544,29208506.6,10258761.0,1055.82,19.36,3650.41,286301.1741433549,-16.115668112057968,False,9970847.699999996,0.3570065694135832,5.826003191974464,16.319036373880238
1709,2009-03-01,116943.6,35922.6,680.8,53644.0,95121,19759,29325450.2,10294683.6,1158.79,21.96,3772.37,309659.99609159696,8.158828554627572,False,10006770.299999995,0.3776516226700728,5.91849789969128,15.671845543377549
1710,2009-04-01,116671.1,33538.9,612.3,54256.3,92402,19701,29442121.3,10328222.5,1117.96,20.41,3889.04,321436.9875636947,3.8032008075767454,False,10040309.199999996,0.3629672517910868,5.922090249225928,16.315770141804716
1711,2009-05-01,128682.3,36632.5,677.2,54933.5,94147,21144,29570803.6,10364855.0,1181.69,21.85,4151.04,330718.6923660684,2.887565887399446,False,10076941.699999996,0.3890989622611448,6.085996027241771,15.641254841376677
1712,2009-06-01,118838.8,32634.7,541.6,55475.1,92060,20774,29689642.4,10397489.7,1087.82,18.05,3961.29,335235.1922340331,1.3656621086798104,False,10109576.399999997,0.3544938083858353,5.720554539328006,16.137248109850443
1713,2009-07-01,132256.5,33775.1,660.8,56135.9,94588,21991,29821898.9,10431264.8,1089.52,21.32,4266.34,370387.5879568085,10.485890663362962,False,10143351.499999996,0.3570759504376876,6.014119412486926,16.84268964380012
1714,2009-08-01,133576.1,35055.5,247.9,56383.8,94632,21480,29955475.0,10466320.3,1130.82,8.0,4308.91,360587.4540428749,-2.645913154918233,False,10178406.999999996,0.3704402316341195,6.218626629422719,16.78712542099045
1715,2009-09-01,126895.4,33337.0,536.9,56920.7,91777,20493,30082370.4,10499657.3,1111.23,17.9,4229.85,349343.94593994657,-3.1181085134458053,False,10211743.999999996,0.3632391557797705,6.192133899380276,17.04698901771076
1716,2009-10-01,131619.3,32982.3,630.1,57550.8,94913,21190,30213989.7,10532639.6,1063.95,20.33,4245.78,378760.20231760666,8.420428268339553,False,10244726.299999995,0.3475003424188467,6.211387446908919,17.874478636980022
1717,2009-11-01,126119.4,31984.6,572.2,58123.0,94659,20052,30340109.1,10564624.2,1066.15,19.07,4203.98,373252.636725174,-1.4541035617607778,False,10276710.899999997,0.3378928575201512,6.289616995810891,18.61423482571185
